Time               Population
0.00               100.00
0.10               150.00
0.20               225.00
0.30               337.50
0.40               506.25
0.50               759.38
0.60               1139.06
0.70               1708.59
0.80               2562.89
0.90               3844.34
1.00               5766.50
1.10               8649.76
1.20               12974.63
1.30               19461.95
1.40               29192.93
1.50               43789.39
1.60               65684.08
1.70               98526.13
1.80               147789.19
1.90               221683.78
