Make,Average MPG
amc,18.24642857142857
audi,26.714285714285715
bmw,23.75
buick,19.182352941176468
cadillac,19.75
capri,25.0
chevrolet,20.219148936170214
chrysler,17.266666666666666
datsun,31.11304347826087
dodge,22.060714285714283
fiat,28.9125
ford,19.694117647058825
hi,9.0
honda,33.76153846153846
mazda,30.058333333333337
mercedes,23.96666666666667
mercury,19.11818181818182
nissan,36.0
oldsmobile,21.1
opel,25.75
peugeot,23.687499999999996
plymouth,21.703225806451616
pontiac,20.0125
renault,32.88
saab,23.9
subaru,30.525
toyota,28.165384615384617
triumph,35.0
volkswagen,31.840909090909086
volvo,21.116666666666667
