hi,1200d,1970,9.0
chevrolet,c20,1970,10.0
ford,f250,1970,10.0
dodge,d200,1970,11.0
mercury,marquis,1972,11.0
chevrolet,impala,1973,11.0
oldsmobile,omega,1973,11.0
dodge,monaco (sw),1971,12.0
oldsmobile,delta 88 royale,1972,12.0
buick,electra 225 custom,1973,12.0
ford,country,1973,12.0
mercury,marquis brougham,1973,12.0
oldsmobile,vista cruiser,1973,12.0
ford,country squire (sw),1971,13.0
pontiac,safari (sw),1971,13.0
buick,lesabre custom,1972,13.0
chevrolet,chevelle concours (sw),1972,13.0
chevrolet,impala,1972,13.0
chrysler,newport royal,1972,13.0
ford,gran torino (sw),1972,13.0
amc,ambassador brougham,1973,13.0
buick,century 350,1973,13.0
chevrolet,caprice classic,1973,13.0
chevrolet,malibu,1973,13.0
chrysler,new yorker brougham,1973,13.0
ford,ltd,1973,13.0
plymouth,custom suburb,1973,13.0
buick,century luxus (sw),1974,13.0
ford,mustang ii,1975,13.0
chevrolet,c10,1976,13.0
dodge,d100,1976,13.0
ford,f108,1976,13.0
plymouth,volare premier v8,1976,13.0
buick,estate wagon (sw),1970,14.0
chevrolet,impala,1970,14.0
plymouth,'cuda 340,1970,14.0
plymouth,fury iii,1970,14.0
pontiac,catalina,1970,14.0
chevrolet,impala,1971,14.0
ford,galaxie 500,1971,14.0
plymouth,fury iii,1971,14.0
pontiac,catalina brougham,1971,14.0
ford,galaxie 500,1972,14.0
plymouth,satellite custom (sw),1972,14.0
pontiac,catalina,1972,14.0
amc,matador,1973,14.0
ford,gran torino,1973,14.0
plymouth,fury gran sedan,1973,14.0
amc,matador (sw),1974,14.0
dodge,coronet custom (sw),1974,14.0
ford,gran torino (sw),1974,14.0
ford,ltd,1975,14.0
ford,gran torino,1976,14.5
amc,ambassador dpl,1970,15.0
buick,skylark 320,1970,15.0
chevrolet,monte carlo,1970,15.0
dodge,challenger se,1970,15.0
ford,galaxie 500,1970,15.0
amc,matador (sw),1972,15.0
plymouth,fury iii,1972,15.0
chevrolet,monte carlo s,1973,15.0
dodge,coronet custom,1973,15.0
dodge,dart custom,1973,15.0
chevrolet,nova,1974,15.0
amc,matador,1975,15.0
chevrolet,bel air,1975,15.0
ford,maverick,1975,15.0
mercury,monarch,1975,15.0
mercury,cougar brougham,1977,15.0
amc,matador,1976,15.5
chevrolet,monte carlo landau,1977,15.5
chrysler,cordoba,1977,15.5
dodge,monaco brougham,1977,15.5
ford,country squire (sw),1979,15.5
amc,rebel sst,1970,16.0
plymouth,satellite custom,1971,16.0
chevrolet,nova custom,1973,16.0
pontiac,grand prix,1973,16.0
amc,matador,1974,16.0
chevrolet,chevelle malibu classic,1974,16.0
ford,gran torino,1974,16.0
chevrolet,chevelle malibu,1975,16.0
plymouth,grand fury,1975,16.0
pontiac,catalina,1975,16.0
dodge,coronet brougham,1976,16.0
ford,thunderbird,1977,16.0
pontiac,grand prix lj,1977,16.0
peugeot,604sl,1978,16.2
cadillac,seville,1976,16.5
mercedes,280s,1976,16.5
mercury,grand marquis,1979,16.5
buick,estate wagon (sw),1979,16.9
ford,torino,1970,17.0
chevrolet,chevelle malibu,1971,17.0
amc,ambassador sst,1972,17.0
buick,century,1975,17.0
oldsmobile,cutlass supreme,1977,17.0
volvo,264gl,1978,17.0
chevrolet,caprice classic,1979,17.0
amc,pacer d/l,1976,17.5
chevrolet,chevelle malibu classic,1976,17.5
chevrolet,caprice classic,1977,17.5
chevrolet,concours,1977,17.5
dodge,magnum xe,1978,17.5
ford,ltd landau,1979,17.6
chrysler,lebaron salon,1981,17.6
buick,regal sport coupe (turbo),1978,17.7
amc,hornet,1970,18.0
chevrolet,chevelle malibu,1970,18.0
plymouth,satellite,1970,18.0
amc,hornet sportabout (sw),1971,18.0
amc,matador,1971,18.0
ford,mustang,1971,18.0
volvo,145e (sw),1972,18.0
amc,gremlin,1973,18.0
amc,hornet,1973,18.0
ford,maverick,1973,18.0
mazda,rx3,1973,18.0
plymouth,valiant,1973,18.0
plymouth,satellite sebring,1974,18.0
chevrolet,nova,1975,18.0
ford,pinto,1975,18.0
plymouth,fury,1975,18.0
ford,granada ghia,1976,18.0
amc,concord d/l,1978,18.1
